abur	aber
ackar	acker
adal	adel
affo	affe
affoltra	affolter
alsō	also
altar	alter
amma	amme
ampfaro	ampfer
angar	anger
angul	angel
angust	angst
ankar	anker
anko	anke
apful	apfel
arkennen	erkennen
arsticken	ersticken
backan	backen
backo	backe
bah	bach
basa	base
belangēn	belangen
bellan	bellen
bergan	bergen
besuohhen	besuchen
betti	bett
betōn	beten
bifindan	befinden
biginnan	beginnen
bikennen	bekennen
bisizzen	besitzen
bisorgēn	besorgen
bistellen	bestellen
blanc	blank
bleh	blech
bleih	bleich
bluot	blut
borgēn	borgen
borto	borte
boto	bote
boum	baum
bracko	bracke
brehhan	brechen
brema	breme
bringan	bringen
bruh	bruch
bruoder	bruder
bruoh	bruch
bruoh	bruch
brōt	brot
bulga	bulge
buog	bug
buoh	buch
dah	dach
dahs	dachs
danc	dank
darbēn	darben
darra	darre
degan	degen
dicki	dick
dihtōn	dichten
dingōn	dingen
dinkil	dinkel
distil	distel
diuten	deuten
doh	doch
dorrēn	dorren
dringan	dringen
dritto	dritte
eban	eben
ebur	eber
eigan	eigen
eitar	eiter
engi	eng
engil	engel
erbo	erbe
erda	erde
esil	esel
essa	esse
estrih	estrich
fah	fach
falla	falle
fallan	fallen
fasal	fasel
fastēn	fasten
fegōn	fegen
fehtan	fechten
felga	felge
felis	fels
fenni	fenn
fenstar	fenster
festi	fest
fiebar	fieber
findan	finden
fingar	finger
finstar	finster
flah	flach
flahs	flachs
flamma	flamme
flasca	flasche
flegil	flegel
flehtan	flechten
flocko	flocke
fluor	flur
fluot	flut
folgēn	folgen
forscōn	forschen
freh	frech
frewen	freuen
fruht	frucht
fuhs	fuchs
funko	funke
gadum	gadem
galla	galle
gangi	gang
garba	garbe
geban	geben
gegin	gegen
gellan	gellen
geltan	gelten
gersta	gerste
gerta	gerte
gesterēn	gestern
gibet	gebet
giburt	geburt
gifallan	gefallen
gilobōn	geloben
ginesan	genesen
giratan	geraten
gisello	geselle
gisiht	gesicht
gispensti	gespenst
gistelli	gestell
gistirni	gestirn
giwalt	gewalt
giwinnan	gewinnen
glocka	glocke
gluot	glut
gota	gote
goumen	gaumen
graban	graben
grillo	grille
guot	gut
gurgula	gurgel
habēn	haben
hackōn	hacken
haftēn	haften
hagal	hagel
halda	halde
halftra	halfter
halla	halle
haltan	halten
hansa	hanse
harfa	harfe
hasal	hasel
haspil	haspel
hederīh	hederich
hefti	heft
heida	heide
heida	heide
heilīg	heilig
heitar	heiter
heizēn	heizen
helfan	helfen
helid	held
hengist	hengst
hera	her
heriberga	herberge
hintar	hinter
hirso	hirse
hodo	hode
holōn	holen
huldī	huld
huof	huf
huot	hut
hōren	hören
igil	igel
impfōn	impfen
inna	inne
innan	innen
intdecken	entdecken
intrinnan	entrinnen
intsagēn	entsagen
intsezzen	entsetzen
intwerfan	entwerfen
irgeban	ergeben
irholōn	erholen
irlouben	erlauben
irquicken	erquicken
irwerban	erwerben
jagōn	jagen
jenēr	jener
joh	joch
kalc	kalk
kamb	kamm
kanna	kanne
kappa	kappe
kegil	kegel
kella	kelle
kellari	keller
kista	kiste
klaga	klage
klebēn	kleben
kletto	klette
klimban	klimmen
klingan	klingen
klingo	klinge
klopfōn	klopfen
klōstar	kloster
knebil	knebel
kneht	knecht
knetan	kneten
