ärgern	argerōn
dichten	dihtōn
spülen	spuolen
schwarm	swarm
schaben	scaban
scholle	scollo
stehlen	stelan
satan	satanās
suchen	suohhen
schwert	swert
silber	silabar
speiche	speihha
mensch	menisco
niemand	nioman
genesen	ginesan
zwängen	dwengen
schonen	scōnen
spindel	spinnil
lorbeer	lōrber
schwarz	swarz
wechsel	wehsal
hinten	hintana
argwohn	argwān
brunnen	brunno
steil	steigal
fliegen	fliogan
gesinde	gisindi
gerecht	gireht
zierde	zierida
fliehen	fliohan
morgen	morgane
kratzen	krazzōn
ordnen	ordinōn
bewegen	biwegan
schemel	scamel
erholen	irholōn
zelter	zeltāri
ergeben	irgeban
kloster	klōstar
stecken	stecko
gemein	gimeini
decken	decchen
stopfen	stophōn
geselle	gisello
spenden	spentōn
scharbe	scarbo
klimmen	klimban
freitag	frīatag
opfern	opfarōn
trocken	truckan
richtig	rihtīg
trinken	trincan
ringel	ringila
wickel	wickilī
klieben	klioban
dürftig	durftīg
stollen	stollo
leumund	liumunt
pflicht	pflihta
gurgel	gurgula
wurzel	wurzala
mandel	mandala
heimat	heimōti
gebirge	gibirgi
ampfer	ampfaro
pferch	pferrih
gesicht	gisiht
armut	armuoti
fremd	fremidi
verlust	farlust
griffel	grifil
krapfen	krapfo
storchschnabel	storahessnabel
dienst	dionōst
propst	probost
chrisam	chrismo
schmalz	smalz
tilgen	tiligōn
storren	storro
koller	kollāri
kranich	kranuh
strieme	strimo
eltern	eltiron
flasche	flasca
zwingen	dwingan
nestel	nestila
schotte	scotto
waschen	wascan
triefen	triofan
stechen	stehhan
geraten	giratan
quendel	quenela
stichel	stihhil
ziegel	ziegala
naschen	nascōn
brechen	brehhan
falzen	falzjan
geloben	gilobōn
wachsen	wahsan
reichen	reihhōn
grimmen	krimman
stinken	stincan
sparren	sparro
brocken	brocko
achtung	ahtunga
bilden	bilidōn
fechten	fehtan
unkraut	unkrūt
stieben	stioban
wagense	waganso
zeichen	zeihhan
fordern	fordrōn
halfter	halftra
keller	kellari
lattich	lattuh
marter	martyra
brüten	bruoten
sittich	sitih
elfenbein	helfantbein
spinnwebe	spinnawebbi
