word:Aal@lang:deu@std	aːl
word:Aar@lang:deu@std	aːr
word:Abend@lang:deu@std	aːbənt
word:Abgott@lang:deu@std	apɡɔt
word:Abgrund@lang:deu@std	apɡrʊnt
word:Ablaß@lang:deu@std	aplas
word:Abt@lang:deu@std	apt
word:Achse@lang:deu@std	aksə
word:Achsel@lang:deu@std	aksəl
word:Acht@lang:deu@std	axt
word:Acht@lang:deu@std/2	axt
word:Achtung@lang:deu@std	axtʊŋ
word:Acker@lang:deu@std	akər
word:Adel@lang:deu@std	aːdəl
word:Ader@lang:deu@std	aːdər
word:Affe@lang:deu@std	afə
word:After@lang:deu@std	aftər
word:Ahle@lang:deu@std	aːlə
word:Ahn@lang:deu@std	aːn
word:Ahorn@lang:deu@std	aːhɔrn
word:Akelei@lang:deu@std	akəlai
word:Alb@lang:deu@std/2	alp
word:Allmende@lang:deu@std	almɛndə
word:Almosen@lang:deu@std	almoːzən
word:Alp@lang:deu@std	alp
word:Alraun@lang:deu@std	alraun
word:Altar@lang:deu@std	altaːr
word:Alter@lang:deu@std	altər
word:Amboß@lang:deu@std	ambɔs
word:Ameise@lang:deu@std	aːmaizə
word:Amme@lang:deu@std	amə
word:Ammer@lang:deu@std	amər
word:Ampel@lang:deu@std	ampəl
word:Ampfer@lang:deu@std	ampfər
word:Amsel@lang:deu@std	amzəl
word:Amt@lang:deu@std	amt
word:Andacht@lang:deu@std	andaxt
word:Angel@lang:deu@std	aŋəl
word:Anger@lang:deu@std	aŋər
word:Angst@lang:deu@std	aŋst
word:Anke@lang:deu@std	aŋkə
word:Anker@lang:deu@std	aŋkər
word:Antlitz@lang:deu@std	antlɪt͡s
word:Antwort@lang:deu@std	antvɔrt
word:Anwalt@lang:deu@std	anvalt
word:Apfel@lang:deu@std	apfəl
word:April@lang:deu@std	aprɪl
word:Arbeit@lang:deu@std	arbait
word:Arche@lang:deu@std	arxə
word:Argwohn@lang:deu@std	arkvoːn
word:Arm@lang:deu@std	arm
word:Armut@lang:deu@std	armuːt
word:Arsch@lang:deu@std	arʃ
word:Arzt@lang:deu@std	aːrt͡st
word:Asch@lang:deu@std/2	aʃ
word:Asche@lang:deu@std	aʃə
word:Ast@lang:deu@std	ast
word:Atem@lang:deu@std	aːtəm
word:Auerhahn@lang:deu@std	auərhaːn
word:Auerochse@lang:deu@std	auərɔksə
word:Auge@lang:deu@std	auɡə
word:August@lang:deu@std	auɡʊst
word:Axt@lang:deu@std	akst
word:Bach@lang:deu@std	bax
word:Backe@lang:deu@std	bakə
word:Bad@lang:deu@std	baːt
word:Bahre@lang:deu@std	baːrə
word:Balg@lang:deu@std	balk
word:Balken@lang:deu@std	balkən
word:Ball@lang:deu@std	bal
word:Balsam@lang:deu@std	balzaːm
word:Band@lang:deu@std/2	bant
word:Bank@lang:deu@std	baŋk
word:Bann@lang:deu@std	ban
word:Barsch@lang:deu@std	baːrʃ
word:Bart@lang:deu@std	baːrt
word:Base@lang:deu@std	baːzə
word:Bast@lang:deu@std	bast
word:Bauch@lang:deu@std	baux
word:Bauer@lang:deu@std	bauər
word:Baum@lang:deu@std	baum
word:Bausch@lang:deu@std	bauʃ
word:Becher@lang:deu@std	bɛxər
word:Becken@lang:deu@std	bɛkən
word:Beere@lang:deu@std	beːrə
word:Beet@lang:deu@std	beːt
word:Beige@lang:deu@std	beːʃ
word:Beil@lang:deu@std	bail
word:Bein@lang:deu@std	bain
word:Berg@lang:deu@std	bɛrk
word:Besen@lang:deu@std	beːzən
word:Bett@lang:deu@std	bɛt
word:Beule@lang:deu@std	bɔylə
word:Beutel@lang:deu@std	bɔytəl
word:Bezirk@lang:deu@std	bət͡sɪrk
word:Biber@lang:deu@std	biːbər
word:Biene@lang:deu@std	biːnə
word:Bier@lang:deu@std	biːr
word:Biest@lang:deu@std	biːst
word:Bild@lang:deu@std	bɪlt
word:Bilsenkraut@lang:deu@std	bɪlzənkraut
word:Binse@lang:deu@std	bɪnzə
word:Birke@lang:deu@std	bɪrkə
word:Birne@lang:deu@std	bɪrnə
word:Bisam@lang:deu@std	biːzaːm
word:Bischof@lang:deu@std	bɪʃɔf
word:Bise@lang:deu@std	biːzə
word:Bistum@lang:deu@std	bɪstuːm
word:Blatt@lang:deu@std	blat
word:Blech@lang:deu@std	blɛx
word:Blei@lang:deu@std	blai
word:Blindschleiche@lang:deu@std	blɪnʧlaixə
word:Block@lang:deu@std	blɔk
word:Blume@lang:deu@std	bluːmə
word:Blut@lang:deu@std	bluːt
word:Blüte@lang:deu@std	blyːtə
word:Bock@lang:deu@std	bɔk
word:Boden@lang:deu@std	boːdən
word:Bogen@lang:deu@std	boːɡən
word:Bohne@lang:deu@std	boːnə
word:Bolzen@lang:deu@std	bɔlt͡sən
word:Bord@lang:deu@std/3	bɔrt
word:Borste@lang:deu@std	bɔrstə
word:Borte@lang:deu@std	bɔrtə
word:Bote@lang:deu@std	boːtə
word:Bottich@lang:deu@std	bɔtɪx
word:Brache@lang:deu@std	braːxə
word:Bracke@lang:deu@std	brakə
word:Brand@lang:deu@std	brant
word:Braten@lang:deu@std	braːtən
word:Braue@lang:deu@std	brauə
word:Braut@lang:deu@std	braut
word:Brei@lang:deu@std	brai
word:Breme@lang:deu@std	breːmə
word:Brett@lang:deu@std	brɛt
word:Brezel@lang:deu@std	breːt͡səl
word:Brief@lang:deu@std	briːf
word:Brocken@lang:deu@std	brɔkən
word:Brombeere@lang:deu@std	brɔmbeːrə
word:Brot@lang:deu@std	broːt
word:Bruch@lang:deu@std	brʊx
word:Bruch@lang:deu@std/2	brʊx
word:Bruch@lang:deu@std/3	brʊx
word:Bruder@lang:deu@std	bruːdər
word:Brunnen@lang:deu@std	brʊnən
word:Brunst@lang:deu@std	brʊnst
word:Brust@lang:deu@std	brʊst
word:Bräutigam@lang:deu@std	brɔytɪɡam
word:Brücke@lang:deu@std	brʏkə
word:Brünne@lang:deu@std	brʏnə
word:Buch@lang:deu@std	buːx
word:Buche@lang:deu@std	buːxə
word:Buchs@lang:deu@std	bʏks
word:Buchstabe@lang:deu@std	buːxʃtaːbə
word:Bug@lang:deu@std	buːk
word:Burg@lang:deu@std	bʊrk
word:Busch@lang:deu@std	bʊʃ
word:Busen@lang:deu@std	buːzən
word:Bär@lang:deu@std	bɛːr
word:Büchse@lang:deu@std	bʏksə
word:Bürde@lang:deu@std	bʏrdə
word:Bürge@lang:deu@std	bʏrɡə
word:Bürger@lang:deu@std	bʏrɡər
word:Bütte@lang:deu@std/2	bʏtə
word:Cholera@lang:deu@std	koːleːraː
word:Chor@lang:deu@std	koːr
word:Christ@lang:deu@std	krɪst
word:Dach@lang:deu@std	dax
word:Dachs@lang:deu@std	daks
word:Dampf@lang:deu@std	dampf
word:Dampf@lang:deu@std/2	dampf
word:Dank@lang:deu@std	daŋk
word:Darm@lang:deu@std	darm
word:Daumen@lang:deu@std	daumən
word:Degen@lang:deu@std	deːɡən
word:Deichsel@lang:deu@std	daiksəl
word:Demut@lang:deu@std	deːmuːt
word:Diadem@lang:deu@std	diːadeːm
word:Diakon@lang:deu@std	diːakoːn
word:Dieb@lang:deu@std	diːp
word:Diele@lang:deu@std	diːlə
word:Diener@lang:deu@std	diːnər
word:Dienst@lang:deu@std	diːnst
word:Dill@lang:deu@std	dɪl
word:Ding@lang:deu@std	dɪŋ
word:Dirne@lang:deu@std	dɪrnə
word:Distel@lang:deu@std	dɪstəl
word:Docht@lang:deu@std	dɔxt
word:Docke@lang:deu@std	dɔkə
word:Dom@lang:deu@std	doːm
word:Donner@lang:deu@std	dɔnər
word:Dorf@lang:deu@std	dɔrf
word:Dorn@lang:deu@std	dɔrn
word:Dotter@lang:deu@std	dɔtər
word:Drache@lang:deu@std	draxə
word:Draht@lang:deu@std	draːt
word:Drüse@lang:deu@std	dryːzə
word:Duft@lang:deu@std	dʊft
word:Dunst@lang:deu@std	dʊnst
word:Durst@lang:deu@std	dʊrst
word:Eber@lang:deu@std	eːbər
word:Ecke@lang:deu@std	ɛkə
word:Ecker@lang:deu@std	ɛkər
word:Efeu@lang:deu@std	eːfɔy
word:Egel@lang:deu@std	eːɡəl
word:Egge@lang:deu@std	ɛɡə
word:Ehe@lang:deu@std	eːə
word:Ehre@lang:deu@std	eːrə
word:Ei@lang:deu@std	ai
word:Eibe@lang:deu@std	aibə
word:Eiche@lang:deu@std	aixə
word:Eichel@lang:deu@std	aixəl
word:Eichhörnchen@lang:deu@std	aixhœrnxən
