bluoen	blyːən
scamel	ʃeːməl
weinoːn	vainən
sougen	zɔyɡən
bileggen	baileːɡən
firsuonen	fɛrzøːnən
faldan	faltən
regan	reːɡən
alt	alt
doː	daː
glaz	ɡlat͡sə
soː	zoː
straːza	ʃtraːsə
sleːha	ʃleːə
gougaloːn	ɡaukəln
pfaːwo	pfau
welben	vœlbən
galga	ɡalɡən
bars	baːrʃ
mezzisahs	mɛsər
stroː	ʃtroː
naːtra	natər
engil	ɛŋəl
giliːhnissa	ɡlaixnɪs
brezzitella	breːt͡səl
getriuwi	trɔy
segan	zeːɡən
pfaffo	pfafə
stal	ʃtal
kin	kɪn
noːt	noːt
swarm	ʃvarm
bistaten	bəʃtatən
hanaf	hanf
kraːm	kraːm
tavala	taːfəl
ahsa	aksə
risi	riːzə
herbist	hɛrpst
phluːma	flaum
winkil	vɪŋkəl
kumiː	kʏməl
flasca	flaʃə
skenken	ʃɛŋkən
freh	frɛx
heːrliːh	hɛrlɪx
sliːm	ʃlaim
zehan	t͡seːn
lodo	loːdən
tragan	traːɡən
uːz	aus
gegin	ɡeːɡən
kohhoːn	kɔxən
striunen	ʃtrɔynən
pfending	pfɛnɪx
quaːt	koːt
zweinzug	t͡svant͡sɪx
tunkal	dʊŋkəl
loseːn	loːzən
meio	mai
haz	has
koufen	kaufən
hulla	hʏlə
fuoz	fuːs
zentenaːri	t͡sɛntnər
wiːhsila	vaikzəl
jung	jʊŋ
scuo	ʃuː
amaro	amər
straːla	ʃtraːl
weih	vaix
speriling	ʃpɛrlɪŋ
geil	ɡail
bart	baːrt
ezzih	ɛsɪx
scato	ʃatən
seː	zeː
zeihhanen	t͡saixnən
mast	mast
gazza	ɡasə
doh	dɔx
leitar	laitər
riːfo	raif
anko	aŋkə
quitina	kvɪtə
neman	neːmən
tou	tau
in	ɪnmɪtən
fluot	fluːt
grammatih	ɡramatɪk
burdin	bʏrdə
armuoti	armuːt
salz	zalt͡s
riːf	raif
muoter	mʊtər
hirz	hɪrʃ
scuzzo	ʃʏt͡sə
nahtscato	naxʧatən
bruːt	braut
luft	lʊft
kelter-	kɛlnər
zucken	t͡sʊkən
koːsoːn	koːzən
amsla	amzəl
hirt	hɪrt
ding	dɪŋ
bisengen	zɛŋən
pfiːfoːn	pfaifən
wereːn	ɡəvɛːrən
miːn	main
snabul	ʃnaːbəl
folgeːn	fɔlɡən
biziohan	bət͡siːən
fulliː	fʏlə
zumft	t͡sʊnft
scabo	ʃaːbə
reht	rɛxt
intwisken	ɛntvɪʃən
zuokumft	t͡suːkʊnft
betaloːn	bɛtəln
rost	rɔst
foramunto	foːrmʊnt
